hull_D;hull_L;batt_MODEL;batt_D;batt_L;total_N;total_CAP;total_MASS
0.04;0.31;0;0.014;0.04;35;35.0;385.0
0.04;0.31;1;0.014;0.025;60;60.0;420.0
0.04;0.31;2;0.0083;0.0425;119;74.375;714.0
0.04;0.31;3;0.0105;0.0445;54;64.8;648.0
0.04;0.31;4;0.0145;0.0505;30;81.0;720.0
0.04;0.31;5;0.026199999999999998;0.05;6;48.0;390.0
0.04;0.31;6;0.0342;0.0615;5;60.0;675.0
0.04;0.31;7;0.033;0.091;3;78.0;765.0
0.04;0.32;0;0.014;0.04;40;40.0;440.0
0.04;0.32;1;0.014;0.025;60;60.0;420.0
0.04;0.32;2;0.0083;0.0425;119;74.375;714.0
0.04;0.32;3;0.0105;0.0445;63;75.6;756.0
0.04;0.32;4;0.0145;0.0505;30;81.0;720.0
0.04;0.32;5;0.026199999999999998;0.05;6;48.0;390.0
0.04;0.32;6;0.0342;0.0615;5;60.0;675.0
0.04;0.32;7;0.033;0.091;3;78.0;765.0
0.04;0.33;0;0.014;0.04;40;40.0;440.0
0.04;0.33;1;0.014;0.025;65;65.0;455.0
0.04;0.33;2;0.0083;0.0425;119;74.375;714.0
0.04;0.33;3;0.0105;0.0445;63;75.6;756.0
0.04;0.33;4;0.0145;0.0505;30;81.0;720.0
0.04;0.33;5;0.026199999999999998;0.05;6;48.0;390.0
0.04;0.33;6;0.0342;0.0615;5;60.0;675.0
0.04;0.33;7;0.033;0.091;3;78.0;765.0
0.04;0.34;0;0.014;0.04;40;40.0;440.0
0.04;0.34;1;0.014;0.025;65;65.0;455.0
0.04;0.34;2;0.0083;0.0425;136;85.0;816.0
0.04;0.34;3;0.0105;0.0445;63;75.6;756.0
0.04;0.34;4;0.0145;0.0505;30;81.0;720.0
0.04;0.34;5;0.026199999999999998;0.05;6;48.0;390.0
0.04;0.34;6;0.0342;0.0615;5;60.0;675.0
0.04;0.34;7;0.033;0.091;3;78.0;765.0
0.04;0.35;0;0.014;0.04;40;40.0;440.0
0.04;0.35;1;0.014;0.025;70;70.0;490.0
0.04;0.35;2;0.0083;0.0425;136;85.0;816.0
0.04;0.35;3;0.0105;0.0445;63;75.6;756.0
0.04;0.35;4;0.0145;0.0505;30;81.0;720.0
