N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1620;0.023259541714073401945122530377;0.047626862421346548892604341934;42.9931084753463007208004199461;0.876430174812927451387999326913;4085;20;109;;[31]
1621;0.023258659155631036770814199755;0.047625012238192960414973450380;42.9947398647825766374764633090;0.876904630888585332273415182375;3455;28;106;;[31]
1622;0.023251917571715998501698368075;0.047610879386442469681673919255;43.0072056171580389616323229498;0.876937009975761600881441188236;2733;45;113;;[31]
1623;0.023247390845066949991137952831;0.047601389803668158387619777459;43.0155799704377580572391022151;0.877136036930660183498061207917;3171;40;110;;[31]
1624;0.023239688822254879672876837514;0.047585243905402411914740892046;43.0298360553940023604614351144;0.877095013765707155515662365628;3920;42;107;;[31]
1625;0.023230647509089041481080198522;0.047566290751951510427745536529;43.0465831659986154060264572234;0.876952348498760442353761383020;4127;49;101;;[31]
1626;0.023235687536638444717589226997;0.047576856034059937509048847904;43.0372459787635826316643832689;0.877872807038279922404359988194;3953;45;103;;[31]
1627;0.023232744164778773294353599572;0.047570685904929828909920516043;43.0426983961720991287090496296;0.878190173120203102293402741287;4102;56;102;;[31]
1628;0.023195714623000048038485165227;0.047493064824234685784295821270;43.1114115798111890313324092855;0.875931035947059648424460601829;3441;45;102;;[31]
1629;0.023195126913575005587625807975;0.047491832919066047473114852166;43.1125039205863330879858637557;0.876424663522531198946245381281;3238;46;105;;[31]
1630;0.023190563267625144589002108286;0.047482267053443442278696606109;43.1209879837647475839347639785;0.876617626211651136425527114354;3250;35;105;;[31]
1631;0.023182582728877210236193703434;0.047465539248145317472146186732;43.1358322623112006863692715176;0.876551823571395785072433044788;3962;31;103;;[31]
1632;0.023171365163458551751970490127;0.047442026855275294530941315812;43.1567148912317373407462857737;0.876240650894571788618111045454;4011;36;103;;[31]
1633;0.023169118061349341967103545537;0.047437316918906472606654291865;43.1609005294075999704966192870;0.876607515832635426027387115865;4108;57;102;;[31]
1634;0.023156639219149407012627036522;0.047411161602488428005213462505;43.1841594342001474245158899892;0.876199721838836381250124748405;3176;46;104;;[31]
1635;0.023146672665827353229981973875;0.047390272455731907111864434926;43.2027537796545783621071851600;0.875981424740798211903199086316;4125;33;101;;[31]
1636;0.023140369780966052397870438404;0.047377062302753692271812580551;43.2145211794559537151771362019;0.876039903449349475766752811574;3169;44;95;;[31]
1637;0.023132251627337136391912458425;0.047360047797406596077965177889;43.2296871100184708043606593345;0.875960443978672890736365269154;3104;40;99;;[31]
1638;0.023131984951881038195979335062;0.047359488888049207911773720195;43.2301854804156082546676125174;0.876475336159415205458279410262;3085;52;99;;[31]
1639;0.023134076743151999542448869204;0.047363872958171234131243187642;43.2262765919981467114409501321;0.877169045576437764756303767500;4196;37;94;;[31]
1640;0.023109311811902845922498137535;0.047311970707316686799200888134;43.2725997268742945770059791580;0.875826079568393928787958847637;3230;28;98;;[31]
1641;0.023099358647017599854389631902;0.047291111642685747419414407017;43.2912452367638274709319080336;0.875605387011720235303740827906;4219;34;102;;[31]
